question,option1,option2,option3,option4,correct
Qual a capital de França?,Paris,Madrid,Berlim,Lisboa,3
Qual o metal principal nas moedas de um euro?,Cobre,Ouro,Níquel,Prata,2
Qual é a língua oficial do Brasil?,Português,Francês,Espanhol,Inglês,0
Qual a capital de França?,Paris,Lisboa,Berlim,Madrid,1
Qual é o maior planeta do sistema solar?,Saturno,Terra,Júpiter,Netuno,2
Quem escreveu o livro 'Orgulho e Preconceito'?,J.K. Rowling,Jane Austen,J.R.R. Tolkien,George Orwell,0
Qual é o maior planeta do sistema solar?,Saturno,Terra,Júpiter,Netuno,2
Qual a capital de Itália?,Berlim,Lisboa,Paris,Madrid,1
Quem escreveu o livro 'Harry Potter'?,Jane Austen,George Orwell,J.K. Rowling,J.R.R. Tolkien,2
Qual o metal principal nas moedas de um euro?,Níquel,Ouro,Prata,Cobre,0
Quem escreveu o livro 'Harry Potter'?,George Orwell,Jane Austen,J.K. Rowling,J.R.R. Tolkien,2
Quem escreveu o livro 'Dom Quixote'?,George Orwell,J.R.R. Tolkien,Jane Austen,J.K. Rowling,3
Qual é o maior planeta do sistema solar?,Terra,Netuno,Júpiter,Saturno,2
Quem escreveu o livro 'Harry Potter'?,J.R.R. Tolkien,George Orwell,J.K. Rowling,Jane Austen,2
Qual a capital de Alemanha?,Paris,Lisboa,Berlim,Madrid,1
Quem escreveu o livro 'Harry Potter'?,J.R.R. Tolkien,George Orwell,J.K. Rowling,Jane Austen,2
Qual é o maior planeta do sistema solar?,Júpiter,Netuno,Terra,Saturno,0
Qual o metal principal nas moedas de um euro?,Ouro,Cobre,Níquel,Prata,2
Qual é a língua oficial do Brasil?,Inglês,Espanhol,Português,Francês,2
Qual o metal principal nas moedas de um euro?,Níquel,Prata,Ouro,Cobre,0
Qual é a língua oficial do Brasil?,Português,Francês,Inglês,Espanhol,0
Qual a capital de Egito?,Berlim,Paris,Lisboa,Madrid,2
Qual é o maior planeta do sistema solar?,Netuno,Saturno,Júpiter,Terra,2
Qual a capital de Índia?,Berlim,Lisboa,Madrid,Paris,1
Quem escreveu o livro 'Orgulho e Preconceito'?,Jane Austen,J.R.R. Tolkien,J.K. Rowling,George Orwell,2
Quem escreveu o livro 'Orgulho e Preconceito'?,Jane Austen,J.K. Rowling,George Orwell,J.R.R. Tolkien,1
Qual a capital de China?,Berlim,Madrid,Paris,Lisboa,3
