question,option1,option2,option3,option4,correct
Qual é o elemento químico mais abundante no universo?,Hidrogénio,Hélio,Oxigénio,Carbono,0
Qual é o rio mais extenso de Portugal?,Tejo,Douro,Guadiana,Mondego,0
Em que ano foi fundada a União Europeia?,1993,1957,1989,1995,0
Quem escreveu "Os Lusíadas"?,Luís de Camões,Fernando Pessoa,Eça de Queirós,Gil Vicente,0
Qual é a moeda oficial do Japão?,Iene,Yuan,Won,Ringgit,0
Qual é o osso mais longo do corpo humano?,Fémur,Tíbia,Úmero,Rádio,0
Em que ano começou a Primeira Guerra Mundial?,1914,1916,1918,1912,0
Qual é a capital da Austrália?,Camberra,Sydney,Melbourne,Brisbane,0
Quem inventou o telefone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,0
Qual é o metal mais precioso?,Ródio,Ouro,Platina,Paládio,0
Qual é o país mais populoso do mundo?,China,Índia,EUA,Indonésia,1
Em que ano foi descoberto o Brasil?,1500,1492,1498,1502,0
Qual é o maior mamífero terrestre?,Elefante africano,Rinoceronte,Hipopótamo,Girafa,0
Quem pintou "A Última Ceia"?,Leonardo da Vinci,Michelangelo,Rafael,Botticelli,0
Qual é a velocidade da luz?,299.792 km/s,199.792 km/s,399.792 km/s,249.792 km/s,0
Em que ano terminou a Segunda Guerra Mundial?,1945,1944,1946,1943,0
Qual é o planeta mais quente do sistema solar?,Vénus,Mercúrio,Marte,Júpiter,0
Quem descobriu a penicilina?,Alexander Fleming,Louis Pasteur,Marie Curie,Robert Koch,0
Qual é a capital do Canadá?,Otava,Toronto,Vancouver,Montreal,0
Qual é o maior deserto do mundo?,Antártida,Saara,Ártico,Gobi,0
Qual é o símbolo químico do ouro?,Au,Ag,Fe,Cu,0
Em que ano foi fundada a ONU?,1945,1944,1946,1947,0
Qual é o maior órgão do corpo humano?,Pele,Fígado,Intestino,Pulmões,0
Quem escreveu "Dom Quixote"?,Miguel de Cervantes,William Shakespeare,Dante Alighieri,Victor Hugo,0
Qual é a montanha mais alta de Portugal Continental?,Serra da Estrela,Serra do Gerês,Serra do Marão,Serra da Lousã,0
Em que ano foi implementado o Euro?,1999,1998,2000,2001,0
Qual é o maior oceano do mundo?,Pacífico,Atlântico,Índico,Ártico,0
Quem foi o primeiro presidente dos EUA?,George Washington,Thomas Jefferson,John Adams,Benjamin Franklin,0
Qual é o metal mais abundante na crosta terrestre?,Alumínio,Ferro,Cobre,Zinco,0
Em que ano foi abolida a monarquia em Portugal?,1910,1908,1912,1914,0
Qual é a capital da Nova Zelândia?,Wellington,Auckland,Christchurch,Hamilton,0
Quem desenvolveu a teoria da relatividade?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,0
Qual é o maior animal do mundo?,Baleia-azul,Elefante africano,Tubarão-baleia,Cachalote,0
Em que ano foi fundada a NATO?,1949,1947,1951,1953,0
Qual é o elemento mais pesado da tabela periódica?,Oganésson,Urânio,Plutónio,Férmio,0
Quem pintou "O Grito"?,Edvard Munch,Vincent van Gogh,Pablo Picasso,Claude Monet,0
Qual é a capital da Dinamarca?,Copenhaga,Oslo,Estocolmo,Helsínquia,0
Em que ano começou a Revolução Industrial?,1760,1750,1770,1780,0
Qual é o maior lago de água doce do mundo?,Lago Superior,Lago Vitória,Lago Huron,Lago Michigan,0
Quem escreveu "O Principezinho"?,Antoine de Saint-Exupéry,Jules Verne,Victor Hugo,Albert Camus,0
Qual é o país mais extenso da América do Sul?,Brasil,Argentina,Peru,Colômbia,0
Em que ano foi descoberta a América?,1492,1489,1495,1498,0
Qual é o menor planeta do sistema solar?,Mercúrio,Marte,Vénus,Plutão,0
Quem foi o primeiro homem a circum-navegar o globo?,Fernão de Magalhães,Vasco da Gama,Cristóvão Colombo,Pedro Álvares Cabral,0
Qual é a língua mais falada no mundo?,Mandarim,Inglês,Hindi,Espanhol,0
Em que ano foi construído o Muro de Berlim?,1961,1959,1963,1965,0
Qual é o maior arquipélago do mundo?,Indonésia,Filipinas,Japão,Maldivas,0
Quem descobriu a radioatividade?,Marie Curie,Albert Einstein,Isaac Newton,Niels Bohr,0
